,PropertyName,ShortDesc,StationMiles,Description,AddedOrReduced,Agent,ContactNumber,PropertyValue
3,"Westmoreland Road, Bromley, Kent, BR2 0QS",5 bedroom detached house for sale,0.28 miles from station,This well located Victorian property will retain its façade to create a fantastic conversion allowing the old to blend with the new. The garden is approximately 80 feet long Permission granted fo...,Added on 14/10/2020,"Added on 14/10/2020 by Bishop Estate Agents , Orpington",01689 499740,"£1,600,000"
4,"Westmoreland Road, Bromley",5 bedroom detached house for sale,0.24 miles from station,This substantial detached family home has been extremely well maintained by the current vendors and has been extended to the ground floor to give excellent living space. No onward chain.,Added on 20/11/2020,"Added on 20/11/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£1,500,000"
5,"Shortlands Road, Shortlands, Bromley, BR2",5 bedroom house for sale,0.82 miles from station,"Stunning 5 bedroom family home arranged over 2 spacious floors boasts amazing interiors, well presented décor and benefits from superb double bedrooms and a beautiful rear Garden with Patio area.",Added on 09/12/2019,"Added on 09/12/2019 by Foxtons, Bromley",020 3858 2683,"£1,500,000"
6,Park Farm Road BR1,4 bedroom detached house for sale,0.99 miles from station,"VIRTUAL VIEWING AVAILABLE. An immaculately presented four double bedroom detached family home, located in the heart of Bickley, within close proximity to excellent schools and transport links. Energy Efficiency Rating D.",Added on 26/10/2020,"Added on 26/10/2020 by Langford Russell, Chislehurst",020 8012 2639,"£1,350,000"
7,"Park Farm Road, Bickley, Bromley, BR1",5 bedroom detached house for sale,0.99 miles from station,A five bedroom detached house built in 2008 to a very high specification providing well proportioned family accommodation over three floors. Situated in a private road just off Sundridge Avenue and 0.9 miles from Bickley station within the catchment of Bullers Wood Secondary School. Offered with...,Added on 31/07/2020,"Added on 31/07/2020 by Hunters, Chislehurst",020 8012 6871,"£1,300,000"
8,"Mays Hill Road, Bromley, Kent, BR2",5 bedroom detached house for sale,0.56 miles from station,"An impressive four double bedroom, double fronted detached family home with the benefit of an adjoining two bedroom annexe, which can be incorporated into the home with minimum disruption. The property is located in this most sought after tree lined road, between Shortlands and Bromley South with...",Added on 19/11/2020,"Added on 19/11/2020 by Sinclair Hammelton, Bromley - Sales",020 8012 3328,"£1,250,000"
9,"Bromley Common, Bromley",6 bedroom detached house for sale,0.88 miles from station,"The property, originally two cottages built in 1760, has been beautifully extended and remodelled by the current owners. Energy efficiency and conservation has been a feature in this. The installation of a mechanical heat exchange system allows the re use of heat and incoming air gives an efficie...",Added on 16/06/2020,"Added on 16/06/2020 by The Address, Beckenham",020 8012 3520,"£1,250,000"
10,"Kingswood Avenue, Bromley, Kent, BR2",4 bedroom detached house for sale,0.84 miles from station,A rare opportunity to acquire an imposing detached family residence of great character offering generous proportioned accommodation and a delightful 100ft rear garden. The property boasts two impressive reception rooms and a large kitchen/dining area. To the first floor is a delightful galleried...,Added on 01/09/2020,"Added on 01/09/2020 by Sinclair Hammelton, Bromley - Sales",020 8012 3328,"£1,100,000"
11,"Kingswood Avenue, Bromley, Kent",4 bedroom detached house for sale,0.85 miles from station,"Attractively presented detached house combining character with modern fittings to provide a delightful family home with particularly good size bedrooms. The main bedroom has an excellent en suite shower room and, in addition, there is a well appointed famil...",Added on 11/11/2020,"Added on 11/11/2020 by Proctors, Park Langley",020 8012 2468,"£1,075,000"
12,"South View, Bromley",4 bedroom detached house for sale,0.59 miles from station,"Rare to the market and situated within the Palace Estate is this attractive four bedroom detached family home. The property has been well maintained during the current owners 40 years of residency and has been a much loved family home. Offering over 1,880 sq ft. of spacious and versat...",Added yesterday,"Added yesterday by Alan de Maid, Bromley",020 8012 1733,"£1,000,000"
13,"Widmore Road, Bromley",4 bedroom detached house for sale,0.86 miles from station,"Guide Price: £1,000,000 - 1,050,000
Set back from the road with ample parking is this impressive four bedroom detached Edwardian property with integral garage, situated within easy reach of several good schools. EPC - F",Added on 28/09/2020,"Added on 28/09/2020 by jdm, Bromley",020 8012 4327,"£1,000,000"
14,"Palace View, Bromley",4 bedroom detached house for sale,0.20 miles from station,A beautifully presented four double bedroom detached family home with driveway to the front plus a gated driveway and large garage to the rear with a gorgeous corner plot garden.,Added on 26/11/2020,"Added on 26/11/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£950,000"
15,"Park Grove, Bromley, Kent, BR1",5 bedroom link detached house for sale,0.69 miles from station,Positioned on a quiet cul-de-sac within Bromley Old Town is this substantial four/five bedroom link-detached Victorian Villa which makes an ideal family home. The accommodation comprises two well proportioned reception rooms and a stunning 18ft kitchen/breakfast leading to the rear garden. Stairs...,Added on 30/10/2020,"Added on 30/10/2020 by Sinclair Hammelton, Bromley - Sales",020 8012 3328,"£900,000"
16,Ravensbourne Road Bromley BR1,4 bedroom detached house for sale,0.18 miles from station,"A spacious four bedroom detached family home with off-street parking, situated in the heart of Bromley. Energy Efficiency Rating E.",Added on 01/10/2020,"Added on 01/10/2020 by Langford Russell, Bromley",020 8012 2638,"£900,000"
17,"Park Hill Road, Bromley, BR2",4 bedroom detached house for sale,0.94 miles from station,"Located in a highly popular and sought after road, nestled within Shortlands Village, this 4 Bedroom Detached property is ideally suited to all types of buyers.This property will appeal to the commuter with Shortlands train station just a short stroll away offering regular services to C...",Reduced on 19/11/2020,"Reduced on 19/11/2020 by Curran & Pinner , Bromley",020 8012 2361,"£800,000"
18,"South Hill Road, Bromley, BR2",4 bedroom detached house for sale,0.65 miles from station,"A characterful family home on a sought after road, situated conveniently for transport links, amenities, schools and greenspace. Boasting four double bedrooms, two bathrooms, a kitchen/breakfast room and a through lounge this property boasts over 1500sq ft of accommodation and offers scope to ex...",Added on 16/10/2020,"Added on 16/10/2020 by Purplebricks, covering London",0121 396 0233,"£800,000"
19,"Bishops Avenue, Bromley",4 bedroom detached house for sale,0.49 miles from station,This well-proportioned four bedroom family home has been extremely well maintained by the current vendors and is located on the highly desirable Palace Estate.,Added on 03/09/2020,"Added on 03/09/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£800,000"
20,"Bloomfield Road, Bromley",5 bedroom detached house for sale,0.90 miles from station,This incredible five bedroom detached family home is presented beautifully throughout and is located in the desirable Chatterton Village area close to good schools and Bromley South station.,Added on 14/09/2020,"Added on 14/09/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£780,000"
21,"Page Heath Lane, Bromley, BR1",3 bedroom detached house for sale,0.89 miles from station,"An attractive, individual 1930s three-bedroom house which was built in a cottage style and now offers scope for improvement and enlargement, subject to the usual consents. EPC Rating: E",Reduced on 04/11/2020,"Reduced on 04/11/2020 by George Proctor & Partners, Bickley Estate Office",020 8012 2462,"£775,000"
22,"Cumberland Road, Bromley, Kent",4 bedroom detached house for sale,0.50 miles from station,"Four bedroom detached family home, a short walk from the sought after Highfield schools and about 0.7 of a mile from Bromley South Station. Generous 38' 2"" x 16' 2"" (max) living/dining room with double glazed doors to the landscaped garden. Off the hallway ...",Added on 19/10/2020,"Added on 19/10/2020 by Proctors, West Wickham",020 8012 2467,"£760,000"
23,"Bishops Avenue, Bromley",5 bedroom detached house for sale,0.50 miles from station,"A very well presented and spacious 4 double bedroom detached family home situated within the sought after, tree lined, Palace Estate residential area. This desirable cul de sac location offers excellent links into London via Bromley South station only 0.5 miles away. There are numerous...",Added on 11/11/2020,"Added on 11/11/2020 by SOLD.CO.UK, London",020 8012 5320,"£740,000"
24,"Walpole Road, Bromley",3 bedroom detached house for sale,0.98 miles from station,"A spacious detached Victorian family home presented beautifully throughout and located in the highly desirable Chatterton Village area close to Bromley South, good schools and lovely parks.",Added on 23/09/2020,"Added on 23/09/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£700,000"
0,"The Gardens, Beckenham, BR3",4 bedroom detached house for sale,1.34 miles from station,"Extended DETACHED 4 Bed, 3 Bathroom house with great kerb appeal. A double aspect lounge, separate dining room, study and a kitchen/breakfast room make for a lovely family home situated within a cul-de-sac 2/3rds mile from Shortlands Station. VIRTUAL VIDEO VIEW AVAILABLE - PLEASE RING TO REQUEST...",Reduced on 06/10/2020,"Reduced on 06/10/2020 by Charles Eden, Beckenham",020 8012 3648,"£1,000,000"
1,"Pine Glade, Keston Park",6 bedroom detached house for sale,2.77 miles from station,"""Glenwood"" is amongst the largest of the properties in the exclusive estate of Keston Park which is regarded as one of the UK's most prestigious private gated estates. The entire estate is CCTV monitored 24 hours a day to identify all movements within the estate. From 6pm to 6am 365 day...",Added on 24/07/2020,"Added on 24/07/2020 by Alan de Maid, Locksbottom",01689 499706,POA
2,"Holwood Park Avenue, Keston Park",6 bedroom detached house for sale,2.96 miles from station,"Positioned on the highly acclaimed gated and private Estate Keston Park, we are pleased to offer Dormers. A substantial period style architect designed residence that sits at the end of one of the Borough's most prestigious roads. Sitting on a plot that was formerly owned by the late ...",Added on 17/10/2019,"Added on 17/10/2019 by Alan de Maid, Locksbottom",01689 499706,"£6,500,000"
3,"Forest Ridge, Keston Park",6 bedroom detached house for sale,2.72 miles from station,"Sitting on one of Keston Parks largest plots, High trees is a substantial Residence with accommodation of around 11,500 square Ft, on the market for the first time in many years. Built in a Colonial style and set behind electric gates well into its plot. This substantial six bedroom property is...",Reduced on 25/02/2020,"Reduced on 25/02/2020 by Alan de Maid, Locksbottom",01689 499706,"£6,000,000"
4,"Manor Park, Chislehurst",8 bedroom detached house for sale,2.76 miles from station,A fine grade II listed country house set in approximately 3.5 acres of grounds with an interesting history. Separate coach house with staff accommodation above. Landscaped formal gardens as well as orchards and fields. Excellent location close to National Trust woodlands and Royal Parade.,Reduced on 23/11/2019,"Reduced on 23/11/2019 by jdm, Chislehurst",020 8012 2398,"£4,750,000"
5,"Park Avenue, Farnborough Park, Kent",5 bedroom detached house for sale,2.54 miles from station,"Positioned on Farnborough Parks premier Road, in this sought after Gated Private Estate, we are pleased to offer Hazelwood, an 8000 sq ft. rebuilt property that sits on an acre plot with large frontage and south aspect gardens to rear. The property was designed to reflect its original ...",Added on 05/03/2020,"Added on 05/03/2020 by Alan de Maid, Locksbottom",01689 499706,"£4,350,000"
6,Wilderness Road BR7,6 bedroom detached house for sale,2.29 miles from station,"VIRTUAL VIEWING AVAILABLE. Situated in Wilderness Road, Chesham House sits on one of the largest plots measuring 0.75 of an acre with exceptional views over Chislehurst Golf Course and boasts nearly 7,000 sq ft of internal living space. Energy Efficiency Rating D.",Added on 08/07/2020,"Added on 08/07/2020 by Unique, Langford Russell Chislehurst",020 8012 5184,"£4,250,000"
7,"Manor Way, Beckenham, BR3",5 bedroom detached house for sale,1.75 miles from station,Winkworth are delighted to offer to the market this magnificent Detached Property offering both security and tranquillity situated in an outstanding location. Offering exceptional appeal to both international buyers and those looking for the flexibility of the perfect work/life balance.,Added on 15/09/2020,"Added on 15/09/2020 by Winkworth, Beckenham",020 8012 3581,POA
8,"Chislehurst Road, Bromley",7 bedroom detached house for sale,1.23 miles from station,"Built in 2009, this superb 7 bedroom detached house measures over 9300 sq ft and is located behind gates on a large secluded plot which includes a lower ground leisure complex.",Added on 29/01/2020,"Added on 29/01/2020 by Kinleigh Folkard & Hayward - Sales, Chislehurst",020 8012 2744,POA
9,Woodlands Road Bickley BR1,7 bedroom detached house for sale,1.32 miles from station,"Located within the ever popular private Bickley Park Estate is this exceptional seven double bedroom, detached family home. Set behind electric gates, this impressive dwelling boasts over 7,100 sq ft of well designed living space. Energy Efficiency Rating C.",Added on 18/11/2020,"Added on 18/11/2020 by Unique, Langford Russell Chislehurst",020 8012 5184,"£3,750,000"
10,"Ninhams Wood, Keston Park, Kent",6 bedroom detached house for sale,2.92 miles from station,"Positioned on the most secluded road in Keston Park a private gated estate between Bromley and Sevenoaks we are excited to present Aces a six bedroom house offering 8000ft of living space, maintained to the same level of quality as when it was first built. Built in 2015, Aces is a u...",Added on 13/07/2020,"Added on 13/07/2020 by Alan de Maid, Locksbottom",01689 499706,"£3,650,000"
11,"Woodlands Road, Bromley",5 bedroom detached house for sale,1.41 miles from station,"Extremely rare opportunity to purchase this magnificent five/six bedroom detached family home, located on arguably one of Bickley's finest private roads, having been designed and built by the renowned local developer of the time Fredrick Love. The property is being offered to the mark...",Added on 13/08/2020,"Added on 13/08/2020 by Alan de Maid, Chislehurst",020 8012 1731,"£2,625,000"
12,"Denbridge Road, Bickley",6 bedroom detached house for sale,1.57 miles from station,Charles Quennell was known for designining some of the finest examples of Arts & Crafts detached homes in the local area and this particular house was his own home built around 1904/5. The owners have updated the house during their 27 year tenure to create a wonderful home that balances the b...,Added on 01/10/2020,"Added on 01/10/2020 by jdm, Chislehurst",020 8012 2398,"£2,600,000"
13,"Whitecroft Way, Park Langley, Beckenham",7 bedroom detached house for sale,1.18 miles from station,"Wonderfully impressive detached property on magnificent plot (60m x 30m/200ft x 100ft) giving a wide frontage and very large garden. The house is beautifully extended to provide extremely spacious accommodation with scope for annexe, if required. The attrac...",Added on 06/11/2020,"Added on 06/11/2020 by Proctors, Park Langley",020 8012 2468,"£2,495,000"
14,"Kemnal Road, Chislehurst, Kent, BR7",4 bedroom detached house for sale,2.93 miles from station,"If you are looking for a one off property with genuine WOW factor, then this charming home needs to be seen in the flesh. Located on a private road with a gated entrance and steeped in history, the original building was a standard Victorian property built in 1874. However, the current owners have...",Reduced on 01/08/2019,"Reduced on 01/08/2019 by Your Move , Eltham",020 8012 3702,"£2,250,000"
15,Sundridge Avenue Bromley BR1,5 bedroom detached house for sale,1.35 miles from station,"Newly built five bedroom, five bathroom, detached family home overlooking Sundridge Park Golf Course, providing nearly 4,000 sqft of beautifully designed living space.",Added on 27/03/2020,"Added on 27/03/2020 by Unique, Langford Russell Bromley",020 8012 5185,"£2,250,000"
16,"Wells Road, Bromley",6 bedroom detached house for sale,1.52 miles from station,"Extended and refurbished to a high standard, this stunning six bedroom detached home is set on a desirable and quiet road 0.5 miles from Chislehurst BR. Beautiful open plan kitchen/diner",Added on 13/11/2020,"Added on 13/11/2020 by Kinleigh Folkard & Hayward - Sales, Chislehurst",020 8012 2744,"£2,000,000"
17,"Elwill Way, Park Langley, Beckenham, BR3",7 bedroom detached house for sale,1.32 miles from station,Situated on a large plot with a magnificent Garden this 7 bedroom house in the prestigious Park Langley area offers over 4000 square feet of superb living space across 3 floors and gated off-street Parking.,Added on 13/03/2020,"Added on 13/03/2020 by Foxtons, Bromley",020 3858 2683,"£2,000,000"
18,"Willow Grove, Chislehurst",5 bedroom detached house for sale,2.16 miles from station,"A quiet cul de sac behind electronic gates you find this five bed detached house with stunning views at the rear over Chislehurst Golf Course, just 0.5 of a mile from the High Street, 1.0 to Elmstead Woods station and 0.2 from Chislehurst recreation park, This house has so much to offer.",Added on 02/12/2020,"Added on 02/12/2020 by jdm, Chislehurst",020 8012 2398,"£1,975,000"
19,"Riverwood Lane, Chislehurst, BR7",6 bedroom detached house for sale,2.73 miles from station,"Standing on a large plot and located in a quiet cul-de-sac off the ever popular Manor Park, is this spacious six bedroom detached family home.",Added on 25/11/2020,"Added on 25/11/2020 by Winkworth, Chislehurst",020 8012 3596,"£1,895,000"
20,Grasmere Road Bromley BR1,7 bedroom detached house for sale,0.92 miles from station,"Designed by architect W.A Williams in the 19th century, this stunning seven bedroom period property offers over 6,600 sqft of accommodation punctuated by a wealth of character and original period features. Energy Efficiency Rating E.",Added on 29/07/2020,"Added on 29/07/2020 by Unique, Langford Russell Bromley",020 8012 5185,"£1,895,000"
21,"Limewood Close, Beckenham, BR3 3XW",6 bedroom detached house for sale,1.55 miles from station,A detached six bedroom family home with a double garage and west facing garden situated in the gated development of Langley Park. Convenient for Langley Park Secondary schools and Langley Park Golf Club. No onward chain. Virtual tour available on request. EPC Band D,Added on 23/10/2020,"Added on 23/10/2020 by Hunters, Chislehurst",020 8012 6871,"£1,800,000"
22,"Forest Drive, Keston Park, Keston",7 bedroom detached house for sale,2.81 miles from station,"This 1920's seven bedroom detached on the popular Keston Park estate offers spacious accommodation with three reception rooms, an impressive reception hall all behind character attractive elevations. With double garage, in and out driveway, good garden to front and rear. There is acces...",Added on 16/10/2020,"Added on 16/10/2020 by Alan de Maid, Locksbottom",01689 499706,"£1,790,000"
23,The Glen Farnborough Park BR6,5 bedroom detached house for sale,2.66 miles from station,"VIRTUAL VIEWING AVAILABLE. Located within the prestigious, private gated Farnborough Park; a spacious, detached five bedroom family home with outdoor heated swimming pool and south facing garden. Energy Efficiency Rating D.",Added on 01/12/2020,"Added on 01/12/2020 by Unique, Langford Russell Locksbottom",01689 499734,"£1,775,000"
24,"Rodway Road, Bromley, Kent, BR1",9 bedroom detached house for sale,0.90 miles from station,"Guide Price £1.750,000 - £2.000,000 Set in one of Bromley's most prestigious roads, is this substantial nine bedroom, four bathroom Victorian double fronted detached house with a generous driveway, arranged over 5358 sq. ft. Much of the character remains as most of the period de...",Added on 27/10/2020,"Added on 27/10/2020 by Sinclair Hammelton, Bromley - Sales",020 8012 3328,"£1,750,000"
0,"Towncourt Lane, Petts Wood, Orpington",6 bedroom detached house for sale,3.03 miles from station,"GUIDE PRICE £675,000 TO £700,000. This superb 6 bedroom detached house must be viewed internally to fully appreciate the spacious accommodation within and is situated in a highly convenient location just half a mile from Petts Wood station and town centre. The property is just a ...",Added on 03/11/2020,"Added on 03/11/2020 by Alan de Maid, Orpington",01689 499707,"£675,000"
1,"Pine Glade, Keston Park",6 bedroom detached house for sale,2.77 miles from station,"""Glenwood"" is amongst the largest of the properties in the exclusive estate of Keston Park which is regarded as one of the UK's most prestigious private gated estates. The entire estate is CCTV monitored 24 hours a day to identify all movements within the estate. From 6pm to 6am 365 day...",Added on 24/07/2020,"Added on 24/07/2020 by Alan de Maid, Locksbottom",01689 499706,POA
2,"Holwood Park Avenue, Keston Park",6 bedroom detached house for sale,2.96 miles from station,"Positioned on the highly acclaimed gated and private Estate Keston Park, we are pleased to offer Dormers. A substantial period style architect designed residence that sits at the end of one of the Borough's most prestigious roads. Sitting on a plot that was formerly owned by the late ...",Added on 17/10/2019,"Added on 17/10/2019 by Alan de Maid, Locksbottom",01689 499706,"£6,500,000"
3,"Forest Ridge, Keston Park",6 bedroom detached house for sale,2.72 miles from station,"Sitting on one of Keston Parks largest plots, High trees is a substantial Residence with accommodation of around 11,500 square Ft, on the market for the first time in many years. Built in a Colonial style and set behind electric gates well into its plot. This substantial six bedroom property is...",Reduced on 25/02/2020,"Reduced on 25/02/2020 by Alan de Maid, Locksbottom",01689 499706,"£6,000,000"
4,"Manor Park, Chislehurst",8 bedroom detached house for sale,2.76 miles from station,A fine grade II listed country house set in approximately 3.5 acres of grounds with an interesting history. Separate coach house with staff accommodation above. Landscaped formal gardens as well as orchards and fields. Excellent location close to National Trust woodlands and Royal Parade.,Reduced on 23/11/2019,"Reduced on 23/11/2019 by jdm, Chislehurst",020 8012 2398,"£4,750,000"
